City Population,Continent,Venue Capacity,Day of Week,Multiple Concerts,Sold Out
7971301,North America,21024,Tuesday,0,0
7378334,Africa,38741,Monday,1,1
6787781,Europe,18247,Friday,0,0
28653498,Europe,32439,Friday,1,1
936124,Europe,48753,Thursday,1,1
14949461,Asia,9698,Monday,1,0
23582477,Oceania,20335,Sunday,0,0
8876941,South America,8164,Friday,1,0
24768915,Oceania,15601,Saturday,0,0
15793994,Asia,8229,Sunday,0,0
26009839,Asia,32714,Saturday,1,1
24341813,Europe,46920,Wednesday,0,1
11984920,Oceania,19043,Tuesday,1,0
15238124,Africa,24252,Sunday,0,0
2654210,Asia,29290,Wednesday,0,0
21617675,Europe,45954,Thursday,1,1
31293026,Europe,20359,Tuesday,0,0
18132290,Africa,41311,Thursday,1,1
9783286,Oceania,35343,Monday,0,1
10757007,Africa,13484,Sunday,1,0
26321297,South America,42052,Thursday,1,1
1270478,Africa,10507,Saturday,1,0
23328789,North America,22234,Thursday,0,0
18175739,Oceania,14708,Friday,0,1
20528290,Africa,36270,Friday,0,1
11341372,Oceania,37757,Monday,1,1
8007315,Asia,23153,Tuesday,0,0
5785296,North America,34849,Sunday,0,1
8939645,Europe,46237,Thursday,0,1
28896306,Europe,38343,Sunday,0,1
27275919,Africa,45590,Wednesday,1,1
30798722,North America,19246,Tuesday,0,0
15942738,Oceania,17432,Monday,0,0
4450951,Europe,7417,Monday,1,0
16472220,Asia,46842,Thursday,0,1
32220415,Europe,33996,Sunday,1,1
7004916,Africa,31249,Wednesday,1,1
4135366,Africa,45824,Saturday,0,1
23270212,North America,19295,Tuesday,0,0
9907474,South America,15025,Wednesday,1,0
5558994,South America,39066,Monday,0,1
1490382,North America,18491,Tuesday,1,0
14844338,South America,6842,Tuesday,1,0
26700760,Asia,32819,Wednesday,1,1
33159965,Europe,15445,Wednesday,0,0
4590793,Africa,23552,Monday,0,0
34245717,Oceania,13317,Monday,0,0
5098388,Oceania,7453,Saturday,0,0
17023232,Oceania,41962,Monday,0,1
21731220,Asia,16386,Saturday,1,0
27060738,Europe,47019,Saturday,1,1
5368286,North America,33034,Friday,0,1
14804543,Oceania,20380,Tuesday,1,1
16893649,Asia,21676,Tuesday,1,1
20801581,Oceania,45858,Friday,0,1
20590967,Africa,9788,Tuesday,1,0
7683062,Africa,39256,Tuesday,1,1
14635116,Africa,25471,Tuesday,1,1
17352461,North America,9048,Saturday,1,1
3458612,North America,24859,Sunday,0,0
18079520,Europe,31956,Friday,1,1
8007729,North America,48286,Tuesday,0,1
10438405,South America,11352,Monday,1,0
3177299,Asia,16767,Saturday,0,0
24234971,Oceania,29632,Friday,0,1
16387173,Europe,14603,Thursday,0,0
22792589,South America,46903,Sunday,0,1
7754174,South America,5537,Sunday,1,0
