PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,HOF
Player 0001,3,375,1497,89,452,64,16,64,277,125,356,22,6,0.302,0
Player 0002,20,1560,4893,450,1189,207,20,254,665,659,490,249,82,0.243,0
Player 0003,17,1598,4269,363,1400,324,42,54,749,516,609,123,36,0.328,0
Player 0004,11,462,1791,92,440,82,24,20,278,94,401,23,3,0.246,0
Player 0005,11,440,1460,78,359,59,16,37,213,180,321,44,14,0.246,0
Player 0006,22,2178,7534,571,2439,579,144,84,1331,900,992,164,14,0.324,0
Player 0007,3,147,612,39,169,29,7,33,67,59,115,21,4,0.276,0
Player 0008,18,2772,9791,400,2454,422,152,256,1547,927,2171,494,89,0.251,0
Player 0009,6,816,2629,236,695,117,40,83,422,329,532,81,18,0.264,0
Player 0010,3,348,1088,58,345,54,7,17,167,95,196,30,6,0.317,0
Player 0011,14,1680,5392,430,1732,275,119,148,853,346,562,114,16,0.321,0
Player 0012,25,2550,6888,746,1662,336,26,373,745,538,631,447,60,0.241,1
Player 0013,19,608,2341,142,628,78,30,68,461,172,417,56,16,0.268,0
Player 0014,20,1520,5964,175,1629,328,95,32,1130,663,954,61,6,0.273,0
Player 0015,18,1602,4779,334,1125,162,37,81,646,315,564,279,59,0.235,0
Player 0016,20,2860,8627,303,2312,384,110,465,1180,931,1094,495,65,0.268,1
Player 0017,13,689,2746,174,741,101,25,149,477,252,391,57,9,0.27,0
Player 0018,4,356,904,50,280,52,5,14,157,113,143,24,3,0.31,0
Player 0019,21,1449,4904,337,1531,317,23,175,1133,459,698,182,49,0.312,0
Player 0020,12,504,1657,141,428,69,8,14,159,221,235,76,15,0.258,0
Player 0021,13,494,1814,59,476,66,9,61,173,237,178,46,7,0.262,0
Player 0022,10,720,1999,119,586,86,28,22,338,133,436,47,14,0.293,0
Player 0023,5,175,636,38,158,34,6,29,68,71,112,10,1,0.248,0
Player 0024,24,792,2487,136,722,109,28,129,427,172,257,51,14,0.29,0
Player 0025,20,1400,4972,165,1327,282,70,67,879,617,734,42,6,0.267,0
Player 0026,17,867,2226,74,525,83,8,62,212,238,326,123,40,0.236,0
Player 0027,11,1067,3505,180,828,118,24,35,435,268,617,29,2,0.236,0
Player 0028,21,567,1920,126,615,127,35,42,384,139,340,44,10,0.32,0
Player 0029,14,896,2566,184,678,119,44,21,463,227,470,136,33,0.264,0
Player 0030,12,996,2726,113,892,110,34,49,489,332,522,78,18,0.327,0
Player 0031,12,1800,5076,322,1279,300,24,276,553,617,490,108,32,0.252,0
Player 0032,6,642,1980,103,554,76,32,14,323,104,254,109,12,0.28,0
Player 0033,3,417,1111,58,393,63,25,53,209,85,91,13,2,0.354,0
Player 0034,14,966,3970,232,924,153,34,35,608,349,606,154,48,0.233,0
Player 0035,23,1909,6086,282,1238,221,35,191,708,625,905,39,12,0.203,0
Player 0036,2,158,612,31,192,41,3,16,88,38,120,12,2,0.314,0
Player 0037,22,3080,12802,871,3086,372,146,660,2011,1026,1366,361,83,0.241,1
Player 0038,21,3129,8251,621,2221,515,144,123,1237,1070,1493,228,65,0.269,0
Player 0039,7,1050,3788,226,945,186,49,52,397,351,488,105,30,0.249,0
Player 0040,16,1952,7771,187,2171,508,70,329,1248,908,1096,87,27,0.279,0
Player 0041,5,450,1610,53,381,83,19,66,277,150,314,48,14,0.237,0
Player 0042,19,1805,5828,184,1536,355,93,232,971,535,532,59,11,0.264,0
Player 0043,18,2736,8845,679,2527,485,104,55,1186,937,1192,397,101,0.286,0
Player 0044,9,549,1406,144,330,53,19,25,209,103,200,59,12,0.235,0
Player 0045,2,140,477,16,117,20,4,22,54,34,92,12,1,0.245,0
Player 0046,25,3525,14766,452,3807,757,130,517,2158,2053,1651,68,20,0.258,1
Player 0047,12,900,3716,135,817,139,38,130,458,476,860,85,20,0.22,0
Player 0048,23,1265,3249,265,829,172,33,64,372,378,778,133,12,0.255,0
Player 0049,17,1649,6101,357,1672,219,114,109,817,380,1287,90,23,0.274,0
Player 0050,20,1340,4037,309,1033,226,44,211,750,212,516,167,26,0.256,0
Player 0051,19,2660,10733,742,2795,403,101,444,1258,706,1998,61,6,0.26,1
Player 0052,5,715,1842,103,496,115,18,20,332,247,171,32,7,0.269,0
Player 0053,10,640,2618,143,646,89,29,135,398,323,574,86,23,0.247,0
Player 0054,12,1116,4378,226,1287,174,44,149,724,425,711,39,8,0.294,0
Player 0055,13,1976,5334,291,1708,371,93,115,691,731,577,102,8,0.32,0
Player 0056,2,242,629,67,159,34,5,15,68,39,83,29,6,0.253,0
Player 0057,14,742,2907,74,834,174,30,119,351,291,605,99,8,0.287,0
Player 0058,4,404,1116,95,291,68,14,26,170,74,244,7,2,0.261,0
Player 0059,19,1995,6801,479,1923,293,35,230,1421,527,1109,62,9,0.283,0
Player 0060,18,1962,7959,552,2585,566,131,322,1811,1071,1248,168,52,0.325,0
Player 0061,24,672,2328,130,670,108,28,34,241,298,465,74,6,0.288,0
Player 0062,19,1197,3800,180,790,145,31,198,362,224,806,104,11,0.208,0
Player 0063,10,1360,4428,356,1265,219,69,100,522,320,896,163,32,0.286,0
Player 0064,25,1400,3650,349,1142,137,64,94,845,377,516,193,54,0.313,0
Player 0065,11,693,2873,131,753,142,46,114,334,159,524,118,39,0.262,0
Player 0066,9,594,1798,147,548,114,19,63,235,178,390,41,9,0.305,0
Player 0067,23,1104,3115,153,765,107,25,84,457,319,324,41,7,0.246,0
Player 0068,10,450,1343,94,292,67,15,50,167,102,190,24,2,0.217,0
Player 0069,2,140,579,37,159,29,7,29,70,44,51,4,0,0.275,0
Player 0070,12,1656,4405,248,918,129,45,198,567,311,640,127,23,0.208,0
Player 0071,20,500,1987,93,519,102,23,91,201,266,404,79,25,0.261,0
